path,lines,status,explored
Barotrauma/BarotraumaClient/ClientSource/GameSession/RoundSummary.cs,967,done,968
Barotrauma/BarotraumaClient/ClientSource/GameSession/UpgradeManager.cs,29,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/CharacterInventory.cs,1262,done,1262
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Door.cs,380,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/ElectricalDischarger.cs,102,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/EntitySpawnerComponent.cs,61,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/GeneticMaterial.cs,114,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Growable.cs,357,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Holdable/Holdable.cs,149,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Holdable/IdCard.cs,128,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Holdable/RangedWeapon.cs,216,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Holdable/Sprayer.cs,329,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/ItemComponent.cs,864,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/ItemContainer.cs,623,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/ItemLabel.cs,345,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Ladder.cs,49,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/LevelResource.cs,17,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/LightComponent.cs,189,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Controller.cs,127,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Deconstructor.cs,473,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Engine.cs,186,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Fabricator.cs,1431,done,1432
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/MiniMap.cs,1934,done,1935
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/OutpostTerminal.cs,49,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Pump.cs,242,partial,29
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Reactor.cs,969,partial,46
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Sonar.cs,2117,done,2117
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Machines/Steering.cs,1113,done,1113
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Planter.cs,53,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Power/PowerContainer.cs,199,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Power/PowerDistributor.cs,214,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Power/PowerTransfer.cs,106,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Power/Powered.cs,21,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Projectile.cs,193,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Quality.cs,21,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/RemoteController.cs,23,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/RepairTool.cs,154,done,154
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Repairable.cs,470,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Rope.cs,291,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Scanner.cs,29,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/ButtonTerminal.cs,116,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/CircuitBox.cs,635,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/Connection.cs,597,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/ConnectionPanel.cs,284,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/ConnectionSelectorComponent.cs,12,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/CustomInterface.cs,513,partial,64
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/MemoryComponent.cs,12,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/MotionSensor.cs,25,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/Terminal.cs,184,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/WifiComponent.cs,34,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Signal/Wire.cs,740,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/StatusHUD.cs,382,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/TriggerComponent.cs,28,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Turret.cs,838,partial,30
Barotrauma/BarotraumaClient/ClientSource/Items/Components/Wearable.cs,62,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/DockingPort.cs,207,done,207
Barotrauma/BarotraumaClient/ClientSource/Items/Inventory.cs,2153,done,2154
